sample	LONDD	LATDD	ELEV
S640	-108.133	48.917	854
S641	-108.117	43.367	1494
S642	-108.095	37.426	3610
S643	-107.933	50.874	686
S644	-107.783	48.833	854
S645	-107.583	48.75	793
S646	-107.35	52.43	518
S647	-107.283	48.733	854
S648	-107.083	48.8	793
S649	-107.011	44.294	2665
S650	-106.82	52.35	518
S651	-106.533	48.883	945
S652	-106.38	51.52	610
S653	-106.233	48.867	945
S654	-105.808	53.346	494
S655	-105.767	53.49	494
S656	-105.63	50.9	579
S657	-105.563	52.696	544
S658	-105.41	50.59	566
S659	-105.383	51.311	556
S660	-105.256	53.479	494
S661	-105.217	52.717	494
S662	-105.21	51.08	566
S663	-104.917	44.3	1280
S664	-104.78	40.97	1829
S665	-104.33	42.75	1526
S666	-104.183	44.533	1220
S667	-104	50.78	478
S668	-103.89	50.78	602
S669	-103.89	50.78	602
S670	-103.83	42.75	1478
S671	-103.59	50.65	558
S672	-103.417	44.417	976
S673	-103.167	47.8	701
S674	-102.85	44.517	793
S675	-102.7	47.967	671
S676	-102.67	53.75	271
S677	-102.67	53.75	271
S678	-102.67	53.75	271
S679	-102.67	53.75	271
S680	-102.67	53.75	271
S681	-102.509	41.721	1163
S682	-102.45	44.583	854
S683	-102.33	42.75	1082
S684	-102.19	49.96	620
S685	-102.067	44.667	762
S686	-102.033	47.967	640
S687	-102	42.83	1082
S688	-102	45.033	793
S689	-102	45.033	793
S690	-101.733	47.967	640
S691	-101.53	48.008	620
S692	-101.5	40.67	999
S693	-101.42	43	992
S694	-101.42	43	992
S695	-101.38	38.05	920
S696	-101.35	45.067	721
S697	-101.217	47.967	640
S698	-101.2	45	732
S699	-100.75	49.67	464
S700	-100.5	37.25	762
S701	-100.35	45.067	579
S702	-100.05	36.97	622
S703	-131.76	52.93	650
S704	-121.1286	44.0853	1067
S705	-121.0453	44.4953	914
S706	-115.5	36.25	2165
S707	-112.49	36.37	615
S708	-112.25	35	1463
S709	-112.25	35	1484
S710	-112.25	35	1499
S711	-112.25	35	1517
S712	-112.25	35	1598
S713	-112.25	36.25	1250
S714	-112.25	36.25	1340
S715	-112.25	36.25	1432
S716	-112.25	36.25	1493
S717	-112.25	36.25	1525
S718	-112.25	36.25	1645
S719	-112.25	36.25	1676
S720	-112.25	36.25	1798
S721	-112.25	36.25	1830
S722	-112.25	36.25	1950
