"sample"	"gdd0"	"gdd5"	"chill"	"mtco"	"mtwa"	"mipt"	"aaetpt"	"apetpt"	"miptev"	"aaetptev"	"apetptev"	"miptdc"	"aaetptdc"	"apetptdc"	"totsnopt"	"annp"	"pjanpann"	"pjulpann"	"Jan_Tmp"	"Feb_Tmp"	"Mar_Tmp"	"Apr_Tmp"	"May_Tmp"	"Jun_Tmp"	"Jul_Tmp"	"Aug_Tmp"	"Sep_Tmp"	"Oct_Tmp"	"Nov_Tmp"	"Dec_Tmp"	"TMax"	"TMin"	"Jan_PPT"	"Feb_PPT"	"Mar_PPT"	"Apr_PPT"	"May_PPT"	"Jun_PPT"	"Jul_PPT"	"Aug_PPT"	"Sep_PPT"	"Oct_PPT"	"Nov_PPT"	"Dec_PPT"	"Jan_sun"	"Feb_sun"	"Mar_sun"	"Apr_sun"	"May_sun"	"Jun_sun"	"Jul_sun"	"Aug_sun"	"Sep_sun"	"Oct_sun"	"Nov_sun"	"Dec_sun"	"Need11"	"Broad11"	"Decid11"	"Ever11"	"TotWoody11"	"Open11"	"NeedStd"	"BroadStd"	"DecidStd"	"EverStd"
"S111"	7698	5872.9	0	11.6	31.2	0.194	293.2989	1511.8168	0.194	293.2989	1511.8168	0.194	293.2989	1511.8168	0	294	0.0816	0.1905	11.6	13.3	15.5	NA	24	29.3	31.2	30.2	27.8	22.2	16	12	44.7	-8.1	24	20	21	8	4	4	56	55	33	23	18	28	81	82.7	86.1	91.5	93.4	93.1	79.7	81.9	85.6	86.9	83	78.5	0.17	0.04	0.04	0.17	0.21	99.79	1.48	0.39	0.39	1.48
"S112"	6376	4551	0	7.3	29	0.3232	445.847	1379.6724	0.3232	445.847	1379.6724	0.3232	445.847	1379.6724	0	447	0.1141	0.0984	7.3	9.6	11.5	15.4	20.2	25.4	29	27.7	24.3	18.7	12.2	7.7	44.6	-14.5	51	41	53	21	9	6	44	65	34	31	39	53	79.5	80.9	84.1	89.1	91.5	92.8	82	83.3	86.8	86.1	80	77.6	44.73	1.54	1.54	44.73	46.27	53.73	12.28	2.79	2.79	12.28
"S113"	6376	4551	0	7.3	29	0.3232	445.847	1379.6724	0.3232	445.847	1379.6724	0.3232	445.847	1379.6724	0	447	0.1141	0.0984	7.3	9.6	11.5	NA	20.2	25.4	29	27.7	24.3	18.7	12.2	7.7	44.6	-14.5	51	41	53	21	9	6	44	65	34	31	39	53	79.5	80.9	84.1	89.1	91.5	92.8	82	83.3	86.8	86.1	80	77.6	44.73	1.54	1.54	44.73	46.27	53.73	12.28	2.79	2.79	12.28
"S114"	6376	4551	0	7.3	29	0.3232	445.847	1379.6724	0.3232	445.847	1379.6724	0.3232	445.847	1379.6724	0	447	0.1141	0.0984	7.3	9.6	11.5	15.4	20.2	25.4	29	27.7	24.3	18.7	12.2	7.7	44.6	-14.5	51	41	53	21	9	6	44	65	34	31	39	53	79.5	80.9	84.1	89.1	91.5	92.8	82	83.3	86.8	86.1	80	77.6	44.73	1.54	1.54	44.73	46.27	53.73	12.28	2.79	2.79	12.28
"S115"	6376	4551	0	7.3	29	0.3232	445.847	1379.6724	0.3232	445.847	1379.6724	0.3232	445.847	1379.6724	0	447	0.1141	0.0984	7.3	9.6	11.5	15.4	20.2	25.4	29	27.7	24.3	18.7	12.2	7.7	44.6	-14.5	51	41	53	21	9	6	44	65	34	31	39	53	79.5	80.9	84.1	89.1	91.5	92.8	82	83.3	86.8	86.1	80	77.6	44.73	1.54	1.54	44.73	46.27	53.73	12.28	2.79	2.79	12.28
"S116"	6376	4551	0	7.3	29	0.3232	445.847	1379.6724	0.3232	445.847	1379.6724	0.3232	445.847	1379.6724	0	447	0.1141	0.0984	7.3	9.6	11.5	15.4	20.2	25.4	29	27.7	24.3	18.7	12.2	7.7	44.6	-14.5	51	41	53	21	9	6	44	65	34	31	39	53	79.5	80.9	84.1	89.1	91.5	92.8	82	83.3	86.8	86.1	80	77.6	44.73	1.54	1.54	44.73	46.27	53.73	12.28	2.79	2.79	12.28
"S117"	6376	4551	0	7.3	29	0.3232	445.847	1379.6724	0.3232	445.847	1379.6724	0.3232	445.847	1379.6724	0	447	0.1141	0.0984	7.3	9.6	11.5	15.4	20.2	25.4	29	27.7	24.3	18.7	12.2	7.7	44.6	-14.5	51	41	53	21	9	6	44	65	34	31	39	53	79.5	80.9	84.1	89.1	91.5	92.8	82	83.3	86.8	86.1	80	77.6	44.73	1.54	1.54	44.73	46.27	53.73	12.28	2.79	2.79	12.28
"S118"	6376	4551	0	7.3	29	0.3232	445.847	1379.6724	0.3232	445.847	1379.6724	0.3232	445.847	1379.6724	0	447	0.1141	0.0984	NA	9.6	11.5	15.4	20.2	25.4	29	27.7	24.3	18.7	12.2	NA	44.6	-14.5	51	41	53	21	9	6	44	65	34	31	39	53	79.5	80.9	84.1	89.1	91.5	92.8	82	83.3	86.8	86.1	80	77.6	44.73	1.54	1.54	44.73	46.27	53.73	12.28	2.79	2.79	12.28
"S119"	6376	4551	0	7.3	29	0.3232	445.847	1379.6724	0.3232	445.847	1379.6724	0.3232	445.847	1379.6724	0	447	0.1141	0.0984	7.3	9.6	11.5	15.4	20.2	25.4	29	27.7	24.3	18.7	12.2	7.7	44.6	-14.5	51	41	53	21	9	6	44	65	34	31	39	53	79.5	80.9	84.1	89.1	91.5	92.8	82	83.3	86.8	86.1	80	77.6	44.73	1.54	1.54	44.73	46.27	53.73	12.28	2.79	2.79	12.28
"S120"	5571.1	3746.1	0	6.3	24.9	0.3292	428.8929	1302.8695	0.3292	428.8929	1302.8695	0.3292	428.8929	1302.8695	0	430	0.0674	0.2465	6.3	7.7	10	13.8	18.4	23.4	24.9	23.7	21.3	16	10.4	6.7	40.1	-15.4	29	23	25	11	6	13	106	89	45	30	20	33	77.1	78.3	81.7	86.7	89.4	88.8	74.6	76.5	81	83.1	78.5	74.9	0.02	0.02	0.02	0.02	0.04	99.96	0.48	0.48	0.48	0.48
