sample	vegcode	elev
S1451	10	91
S1452	10	76
S1453	10	790
S1454	10	128
S1455	10	168
S1456	10	122
S1457	10	610
S1458	10	76
S1459	10	1210
S1460	10	91
S1461	10	91
S1462	10	1350
S1463	10	790
S1464	10	1629
S1465	10	936
S1466	10	1511
S1467	10	1617
S1468	10	183
S1469	10	815
S1470	10	1532
S1471	10	1301
S1472	10	539
S1473	10	183
S1474	10	1447
S1475	10	1398
S1476	10	1137
S1477	10	152
S1478	10	1544
S1479	10	1495
S1480	10	1508
S1481	10	1541
S1482	10	335
S1483	10	61
S1484	10	1471
S1485	10	1337
S1486	10	460
S1487	10	625
S1488	10	274
S1489	10	1250
S1490	10	1000
S1491	10	596
S1492	10	1556
S1493	10	1313
S1494	10	244
S1495	10	305
S1496	10	305
S1497	10	1067
S1498	10	1620
S1499	10	305
S1500	10	1809
S1501	10	274
S1502	10	183
S1503	10	1638
S1504	10	91
S1505	10	671
S1506	10	945
S1507	10	1537
S1508	10	1723
S1509	10	1611
S1510	10	1891
S1511	10	1780
S1512	10	0
S1513	10	1681
S1514	10	1714
S1515	10	1672
S1516	10	1599
S1517	10	1590
S1518	10	1635
S1519	10	1790
S1520	10	1620
S1521	10	1793
S1522	10	1802
S1523	10	1857
S1524	10	1771
S1525	10	884
S1526	10	1729
S1527	10	1769
S1528	10	1675
S1529	10	61
S1530	10	1842
S1531	10	1892
S1532	10	1626
S1533	10	15
S1534	10	625
S1535	10	91
S1536	10	61
S1537	10	91
S1538	10	30
S1539	10	2106
S1540	10	1970
S1541	10	1802
S1542	10	823
S1543	10	689
S1544	10	213
S1545	10	1842
S1546	10	1492
S1547	10	1912
S1548	10	1769
S1549	10	183
S1550	10	91
S1551	10	305
S1552	10	541
S1553	10	1524
S1554	10	732
S1555	10	988
S1556	10	540
S1557	10	274
S1558	10	305
S1559	10	274
S1560	10	155
S1561	10	930
S1562	10	366
S1563	10	1945
S1564	10	1830
S1565	10	1695
S1566	10	40
S1567	10	1219
S1568	10	1143
S1569	10	865
S1570	10	240
S1571	10	1177
S1572	10	1219
S1573	10	282
S1574	10	1814
S1575	10	1006
S1576	10	1006
S1577	10	1219
S1578	10	1737
S1579	10	198
S1580	10	1615
S1581	10	1146
S1582	10	1402
S1583	10	295
S1584	10	1487
S1585	10	1465
S1586	10	405
S1587	10	1690
S1588	10	1681
S1589	10	1698
S1590	10	1524
S1591	10	530
S1592	10	1143
S1593	10	1097
S1594	10	1006
S1595	10	1006
S1596	10	1006
S1597	10	1006
S1598	10	1006
S1599	10	914
S1600	10	914
S1601	10	1492
S1602	10	1219
S1603	10	914
S1604	10	1060
S1605	10	605
S1606	10	1451
S1607	10	820
S1608	10	1204
S1609	10	1280
S1610	10	1250
S1611	10	60
S1612	10	65
S1613	10	884
S1614	10	190
S1615	10	1435
S1616	10	152
S1617	10	1219
S1618	14	762
S1619	14	1143
S1620	14	1050
S1621	14	651
S1622	14	419
S1623	14	900
S1624	14	1100
S1625	14	1050
S1626	14	1113
S1627	14	688
S1628	14	655
S1629	14	701
S1630	14	440
S1631	14	1054
S1632	14	732
S1633	14	783
S1634	14	730
S1635	14	914
S1636	14	1341
S1637	14	1067
S1638	14	701
S1639	14	908
S1640	14	823
S1641	14	579
S1642	14	975
S1643	14	762
S1644	14	1000
S1645	14	884
S1646	14	1341
S1647	14	1206
S1648	14	584
S1649	14	914
S1650	14	1203
